,genre,occurence
762,indian singer-songwriter,7
175,brazilian rock,7
178,brega romantico,7
1478,shiver pop,7
1629,thai worship,7
141,belgian indie,7
1447,salsa choke,7
316,classic russian rock,7
193,bubblegum dance,7
1145,norwegian rock,7
1148,nottingham hip hop,7
1597,taiwan punk,7
773,indie r&b,7
736,hungarian rock,7
1416,russian edm,7
120,bass house,7
1518,south african alternative,7
1687,turkish folk,7
1085,nederlandse hardstyle,7
681,greek house,7
970,lovers rock,7
399,dance rock,7
292,classic finnish rock,7
1137,norwegian country,7
914,korean ost,6
1263,pop costarricense,6
1784,volkspop,6
1576,swedish singer-songwriter,6
1125,nordnorsk rap,6
1546,stomp pop,6
1484,singaporean hip hop,6
1517,soundtrack,6
1095,neo-synthpop,6
1246,polish drill,6
1584,swiss hip hop,6
1461,schweizer rap,6
1782,vocal jazz,6
1372,reggae en espanol,6
1585,swiss indie,6
1666,trip hop,6
1705,uk alternative hip hop,6
1212,partyschlager,6
1371,reggae,6
956,lithuanian electronic,6
955,lithuanian edm,6
1729,ukrainian indie,6
1683,turkish alternative,6
1399,romanian electronic,6
1405,roots reggae,6
944,latvian indie,6
1662,traphall,6
1455,sami,6
1185,orchestral soundtrack,6
1173,okinawan pop,6
1430,russian punk,6
1228,pinoy pop punk,6
1434,russian rock,6
1443,sad lo-fi,6
958,lithuanian indie,6
1612,tennessee hip hop,6
1609,tekk,6
1602,talentkonkurranse,6
1624,thai pop rap,6
1801,zxc,6
382,czech folk,6
539,euphoric hardstyle,6
854,japanese electropop,6
375,cumbia uruguaya,6
843,j-pop girl group,6
838,j-idol,6
454,destroy techno,6
675,gothenburg indie,6
110,bandung indie,6
368,cumbia paraguaya,6
366,cumbia boliviana,6
703,hard rock,6
133,bedroom soul,6
418,dansband,6
778,indie soul,6
654,german reggae,6
763,indie anthem-folk,6
757,indian fusion,6
136,belarusian pop,6
652,german pop rock,6
180,brill building pop,6
600,french indietronica,6
94,austropop,6
96,azeri rap,6
858,japanese punk rock,6
150,bhangra,6
416,danish rock,6
407,danish alternative rock,6
207,canadian electronic,5
367,cumbia chilena,5
799,indonesian rock,5
1706,uk alternative pop,5
1282,pop teen brasileiro,5
506,ecuadorian pop,5
208,canadian electropop,5
1034,modern alternative pop,5
249,chicano rap,5
794,indonesian lo-fi pop,5
1156,nu metal,5
960,lithuanian rock,5
158,black americana,5
1544,st louis rap,5
1433,russian reggae,5
1070,musica santomense,5
224,carnaval,5
1513,sophisti-pop,5
519,electro-pop francais,5
1395,rockabilly,5
314,classic romanian pop,5
1230,pinoy reggae,5
191,bruneian pop,5
555,finnish alternative rock,5
74,australian alternative pop,5
563,finnish idol pop,5
1150,nouvelle chanson francaise,5
655,german rock,5
336,colombian rock,5
199,bulgarian r&b,5
1307,qawwali,5
1021,mexican indie,5
666,ghanaian pop,5
360,cuarteto,5
779,indie surf,5
404,dangdut,5
1747,vapor pop,5
535,estonian indie,5
902,kizomba antigas,5
288,classic colombian pop,5
1183,orchestra,5
692,grupera,5
1107,new rave,5
920,kurdish hip hop,5
1110,new wave,5
1181,operatic pop,5
1345,rap inde,5
126,baton rouge rap,5
1491,ska argentino,5
415,danish post-punk,5
717,hip house,5
839,j-indie,5
1366,rap uliczny,5
1394,rock-and-roll,5
1493,skansk musik,5
1108,new romantic,5
1128,norske viser,5
419,danseband,5
907,kollywood,5
258,chill drill,5
1715,uk house,5
1655,trap mexicano,5
946,laulaja-lauluntekija,5
1315,radio symphony,5
903,kizomba cabo-verdiana,5
469,dream pop,5
1122,nordic orchestra,5
710,hawaiian hip hop,4
1451,salsa urbana,4
1062,musica chihuahuense,4
569,finnish punk,4
182,british indie rock,4
1157,nu-cumbia,4
1014,metal,4
1457,sandalwood,4
1013,merengue,4
1057,mundart,4
1074,musiikkia lapsille,4
887,karadeniz turkuleri,4
1200,pakistani folk,4
1454,samba reggae,4
1460,schlager,4
1190,oulu metal,4
1432,russian rave,4
1072,musica triste brasileira,4
1431,russian punk rock,4
166,boston hip hop,4
264,chinese hip hop,4
154,birmingham hip hop,4
1113,new weird finland,4
1529,south carolina hip hop,4
1711,uk dnb,4
168,bow pop,4
1053,motown,4
1557,surinamese pop,4
1637,trancecore,4
1425,russian indie rock,4
143,belgian rock,4
162,boom bap espanol,4
690,groove room,4
405,dangdut koplo,4
1759,viet lo-fi,4
1292,post-punk argentina,4
701,happy hardcore,4
1594,taiwan idol pop,4
259,chill pop,4
1674,tunisian pop,4
470,dream smp,4
295,classic hardstyle,4
442,deep rai,4
1774,viral trap,4
1775,virgin islands reggae,4
1126,norrlandsk hip hop,4
233,celtic rock,4
1776,virginia hip hop,4
1337,rap df,4
677,gqom,4
1681,turkce trap metal,4
15,afro house,4
859,japanese r&b,4
1355,rap motywacja,4
552,fidget house,4
1480,sholawat,4
330,classify,4
1448,salsa colombiana,4
1469,semba,4
289,classic czech pop,4
551,festigal,4
1560,swedish country,4
61,armenian pop,4
777,indie siciliano,4
7,aesthetic rap,4
1792,yacht rock,4
784,indonesian alternative rock,4
1359,rap rock,4
780,indie triste,4
806,instrumental funk,4
1757,veracruz indie,4
524,electropowerpop,4
525,emo,4
646,german house,3
1439,russian underground rap,3
1438,russian trap metal,3
144,belgian singer-songwriter,3
678,graz indie,3
135,belarusian indie,3
333,cologne indie,3
1669,tropical alternativo,3
1679,turkce remix,3
1676,turin indie,3
332,cologne hip hop,3
1138,norwegian folk rock,3
1615,thai folk pop,3
1172,okinawan folk,3
261,chinderlieder,3
1287,porro,3
498,dutch singer-songwriter,3
481,drill tuga,3
1589,synthpop,3
1587,swiss reggae,3
369,cumbia peruana,3
1326,rap boricua,3
440,deep neofolk,3
1329,rap capixaba,3
434,deep funk ostentacao,3
1548,sudanese hip hop,3
1549,sudanese pop,3
1572,swedish jazz,3
425,dark pop,3
243,chanson virale,3
423,dark clubbing,3
1358,rap portuense,3
247,chicago indie,3
1367,rap underground argentino,3
1369,rap uruguayo,3
1380,reggaeton mexicano,3
513,el paso indie,3
529,emo trap italiana,3
1174,oklahoma country,3
533,estonian folk,3
1436,russian synthpop,3
1180,oldschool deutschrap,3
1186,orebro indie,3
1192,oyun havasi,3
164,bossa nova,3
1199,pakistani electronic,3
588,folklore argentino,3
1220,phonk,3
1225,pinoy idol pop,3
573,flamenco,3
1237,pixie,3
1238,plena uruguaya,3
186,broadway,3
1539,spanish rock,3
1619,thai indie,3
1616,thai folk rock,3
684,greek swing,3
1257,polynesian hip hop,3
1541,sped up,3
545,experimental pop,3
1266,pop electronico,3
682,greek indie,3
1504,slovenian pop,3
23,alabama rap,3
86,australian r&b,3
947,lebanese pop,3
739,hyphy,3
1036,modern blues rock,3
737,huzunlu sarkilar,3
734,hungarian indie,3
728,hong kong tv drama,3
727,hong kong rock,3
848,jalsat,3
1716,uk melodic rap,3
722,hokkaido indie,3
850,jamaican hip hop,3
711,heartland rock,3
1060,musica capixaba,3
1061,musica catalana,3
927,lagu sabahan,3
949,levenslied,3
953,lilith,3
867,jawaiian,3
823,italian alternative,3
1000,melancholia,3
71,auckland indie,3
75,australian country,3
785,indonesian city pop,3
312,classic polish pop,3
41,anadolu rock,3
1731,ukrainian post-punk,3
1755,venezuelan indie,3
39,ambient pop,3
808,iraqi hip hop,3
1479,shoegaze,3
754,indian edm,3
1023,mexican rock,3
812,irish rock,3
816,israeli indie,3
857,japanese pop rap,3
60,armenian hip hop,3
1690,turkish jazz,3
1691,turkish modern jazz,3
900,kiwi rock,3
1689,turkish instrumental,3
1494,sky room,3
1510,solo wave,3
1114,new york drill,3
702,hard bass,3
876,junior eurovision,3
1507,soca,3
913,korean old school hip hop,3
1104,new jack swing,3
963,lo-fi chill,2
1291,post-grunge,2
212,canadian latin,2
1559,swedish americana,2
1598,taiwan rock,2
1288,portland hip hop,2
1354,rap montrealais,2
1515,soul flow,2
216,canadian singer-songwriter,2
1298,psychedelic hip hop,2
810,irish hip hop,2
1501,slovak punk,2
221,canto popular uruguayo,2
873,josei rap,2
477,drill dominicano,2
824,italian disco,2
1795,yemeni pop,2
215,canadian rock,2
972,lund indie,2
253,children's music,2
50,arab trap,2
1742,uzbek pop,2
56,argentine reggae,2
544,experimental house,2
1388,rock andaluz,2
543,experimental,2
1473,sgija,2
1267,pop emo,2
315,classic russian pop,2
387,czech punk,2
379,cypriot pop,2
1608,teen pop,2
37,alternative rock,2
392,czsk hyperpop,2
528,emo trap en espanol,2
1607,tech house,2
285,classic canadian rock,2
279,circuit,2
40,american folk revival,2
974,macedonian hip hop,2
395,dabke,2
1603,tallava,2
1588,swiss trap,2
298,classic indonesian rock,2
825,italian electronica,2
252,children's choir,2
1396,roda de samba,2
231,celtic,2
1334,rap congolais,2
931,latin afrobeat,2
929,lapland hip hop,2
11,afrikaans,2
851,japanese alternative pop,2
428,deboxe,2
244,chicago bop,2
853,japanese dance pop,2
1783,vocaloid,2
1778,vlaamse kinderliedje,2
1398,rogaland musikk,2
1779,vlaamse rap,2
1511,solomon islands pop,2
1346,rap ivoire,2
1347,rap kreyol,2
12,afrikaans hip hop,2
1349,rap lyonnais,2
1569,swedish indie folk,2
420,dansktop,2
1352,rap metal,2
1787,weirdcore,2
1364,rap tuga underground,2
296,classic hungarian pop,2
230,cello,2
948,leipzig electronic,2
225,carnaval cadiz,2
463,disney,2
251,chihuahua indie,2
462,discofox,2
1406,roots rock,2
371,cumbia ranchera,2
456,detroit trap,2
294,classic greek pop,2
283,classic bhangra,2
1582,swedish underground rap,2
282,classic belgian pop,2
372,cumbia salvadorena,2
1489,sinhala indie,2
1324,rap baixada fluminense,2
357,cruise,2
1789,women's music,2
905,klubowe,2
846,j-rap,2
439,deep minimal techno,2
9,afghan rap,2
687,greenlandic pop,2
1419,russian folk rock,2
1613,texas country,2
1656,trap pesado,2
106,balochi pop,2
1079,muziek voor kinderen,2
1077,musique urbaine kinshasa,2
1452,salsa venezolana,2
649,german jazz rap,2
337,comedy rap,2
1162,nz christian,2
1075,musique comorienne,2
