,track_id,acousticness,danceability,duration_ms,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2340,6fZAPx7wPQmVOK5hMJiHzG,0.0427,0.738,137824,0,9,0.537,0.104,-8.124,0,0.405,170.005,4,0.35
2341,2TAwTtG4uihlWzelKWRRLp,0.234,0.673,113772,0.000428,2,0.769,0.0392,-5.251,1,0.42,146.548,5,0.792
2342,3KI0MgmUSkF2HPltjRLqjO,0.00633,0.765,199811,0.0918,4,0.806,0.031,-4.608,0,0.118,140.038,4,0.727
2343,7jfmlr5W2AQWUGLVhT8ofl,0.0534,0.839,234787,0,8,0.71,0.283,-3.823,1,0.0409,129.997,4,0.661
2344,5S4aEL1BMsgLvCSt4BijHd,0.418,0.69,164093,4.63e-06,3,0.524,0.0748,-5.552,1,0.146,125.783,5,0.44
2345,2qS5e9BfS51kGXUUaSJoZL,0.0701,0.792,146901,2.93e-06,8,0.787,0.193,-5.342,0,0.0641,105.009,4,0.705
2346,0TH2Oz2cnc2lxfgaPLGmSp,0.00374,0.787,185173,1.82e-06,2,0.879,0.124,-3.398,1,0.191,110.003,4,0.775
2347,3QmNezz4YTPXsCrNLk99Qh,0.198,0.72,178583,0,4,0.501,0.222,-7.906,0,0.0927,94.004,4,0.812
2348,22ureEREoYmAIwxm8ZBSIK,0.22,0.599,187360,0,11,0.653,0.326,-6.985,1,0.0307,126.03,4,0.472
2349,3dkFiY1M26iQ50ZDWctdyG,0.0267,0.577,147546,0,6,0.699,0.0622,-4.62,1,0.399,85.683,4,0.696
2350,11AizyYnfVVvK1i7f2QmSz,0.863,0.527,197091,0,6,0.263,0.103,-10.753,1,0.0304,144.692,4,0.385
2351,1aOl53hkZGHkl2Snhr7opL,0.214,0.4,163603,0,8,0.641,0.0656,-6.303,1,0.0674,81.552,4,0.393
2352,5hnGrTBaEsdukpDF6aZg8a,0.214,0.4,163603,0,8,0.641,0.0656,-6.303,1,0.0674,81.552,4,0.393
2353,3ZgG8vSIEbgHxKawwMUHNB,0.134,0.898,155094,1.07e-06,4,0.704,0.0907,-4.931,0,0.275,105.929,4,0.603
2354,7up4SX2l8FAnisrUXoGupd,0.00119,0.646,175699,0,8,0.64,0.138,-5.554,1,0.0304,105.957,4,0.127
2355,3lt2vb4iuIJrvIccs2IlBU,0.462,0.571,166000,2.02e-05,2,0.5,0.281,-10.296,0,0.0277,97.628,4,0.316
2356,06bMZsOQ6qQGHCTeM9r9bU,0.000177,0.75,168849,2.48e-05,9,0.726,0.22,-6.244,1,0.0348,126.013,4,0.673
2357,60GwMZeymeZYj7GiEzHQ7d,0.152,0.855,178184,0,3,0.716,0.101,-7.246,0,0.088,109.972,4,0.697
2358,7y2CanQNBGTd7EVJy80hLC,0.722,0.67,192507,0,6,0.498,0.116,-8.236,0,0.332,81.914,4,0.355
